Age,Department,JobRole,Attrition,Attrition_Binary,MonthlyIncome,SalaryBand,YearsAtCompany,TenureBand,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,BusinessTravel,MaritalStatus,Gender,JobLevel,NumCompaniesWorked,TotalWorkingYears,YearsInCurrentRole,StockOptionLevel
39,Sales,Sales Representative,Yes,1,2086,Low (<3K),1,0-2 yrs,No,4,4,4,3,Travel_Rarely,Married,Male,2,3,19,0,1
24,Research & Development,Research Scientist,Yes,1,2293,Low (<3K),2,0-2 yrs,Yes,4,2,2,1,Travel_Rarely,Married,Male,1,2,6,0,1
43,Research & Development,Research Scientist,No,0,2645,Low (<3K),5,3-5 yrs,No,3,4,2,4,Travel_Rarely,Divorced,Female,1,1,6,3,2
50,Sales,Sales Representative,Yes,1,2683,Low (<3K),3,3-5 yrs,Yes,3,1,3,3,Travel_Rarely,Married,Male,1,1,3,2,0
35,Sales,Sales Representative,No,0,2014,Low (<3K),2,0-2 yrs,No,4,4,3,1,Travel_Rarely,Married,Female,1,1,2,2,0
36,Research & Development,Research Scientist,No,0,3419,Mid (3-6K),1,0-2 yrs,Yes,1,2,4,4,Travel_Rarely,Married,Female,1,9,6,1,1
33,Sales,Sales Executive,No,0,5376,Mid (3-6K),5,3-5 yrs,No,1,3,3,1,Travel_Frequently,Married,Female,2,2,10,3,2
35,Research & Development,Laboratory Technician,No,0,1951,Low (<3K),1,0-2 yrs,No,4,3,3,3,Travel_Rarely,Divorced,Male,1,1,1,0,1
27,Research & Development,Laboratory Technician,No,0,2341,Low (<3K),1,0-2 yrs,No,1,4,3,4,Travel_Rarely,Divorced,Female,1,1,1,0,1
26,Research & Development,Laboratory Technician,Yes,1,2293,Low (<3K),1,0-2 yrs,No,3,1,2,3,Travel_Rarely,Single,Male,1,1,1,0,0
27,Sales,Sales Executive,No,0,8726,High (6-10K),9,6-10 yrs,No,3,4,3,4,Travel_Frequently,Single,Male,3,1,9,8,0
30,Research & Development,Laboratory Technician,No,0,4011,Mid (3-6K),12,10+ yrs,No,4,3,3,4,Travel_Frequently,Single,Female,2,1,12,8,0
41,Research & Development,Research Director,Yes,1,19545,Very High (10K+),22,10+ yrs,No,3,2,3,4,Travel_Rarely,Married,Female,5,1,23,15,0
34,Sales,Sales Executive,No,0,4568,Mid (3-6K),9,6-10 yrs,No,3,2,3,3,Non-Travel,Single,Male,2,0,10,5,0
37,Research & Development,Research Scientist,No,0,3022,Mid (3-6K),1,0-2 yrs,No,2,2,3,1,Travel_Rarely,Married,Male,1,4,8,0,0
46,Sales,Sales Executive,No,0,5772,Mid (3-6K),9,6-10 yrs,Yes,4,1,3,3,Travel_Frequently,Single,Male,2,4,14,6,0
35,Research & Development,Laboratory Technician,No,0,2269,Low (<3K),1,0-2 yrs,No,4,4,3,4,Travel_Rarely,Married,Male,1,1,1,0,0
48,Research & Development,Laboratory Technician,Yes,1,5381,Mid (3-6K),1,0-2 yrs,Yes,3,1,3,4,Travel_Rarely,Single,Male,3,9,23,0,0
28,Research & Development,Laboratory Technician,Yes,1,3441,Mid (3-6K),2,0-2 yrs,Yes,3,3,2,3,Travel_Rarely,Single,Male,1,1,2,2,0
44,Sales,Sales Executive,No,0,5454,Mid (3-6K),4,3-5 yrs,Yes,1,2,2,3,Travel_Rarely,Divorced,Female,2,5,9,3,1
35,Research & Development,Healthcare Representative,No,0,9884,High (6-10K),4,3-5 yrs,Yes,1,3,3,3,Non-Travel,Married,Male,3,2,10,0,1
26,Sales,Sales Executive,No,0,4157,Mid (3-6K),2,0-2 yrs,Yes,4,3,2,3,Travel_Rarely,Married,Female,2,7,5,2,1
33,Research & Development,Research Director,No,0,13458,Very High (10K+),15,10+ yrs,Yes,4,1,3,3,Travel_Frequently,Single,Female,3,1,15,14,0
35,Sales,Sales Executive,No,0,9069,High (6-10K),9,6-10 yrs,No,1,2,2,4,Travel_Frequently,Married,Male,3,1,9,8,1
35,Research & Development,Laboratory Technician,No,0,4014,Mid (3-6K),2,0-2 yrs,Yes,1,3,3,3,Travel_Rarely,Married,Female,1,3,4,2,1
31,Research & Development,Laboratory Technician,No,0,5915,Mid (3-6K),7,6-10 yrs,No,4,4,2,4,Travel_Rarely,Divorced,Male,2,3,10,7,1
37,Research & Development,Manufacturing Director,No,0,5993,Mid (3-6K),7,6-10 yrs,No,3,1,4,3,Travel_Rarely,Divorced,Male,2,1,7,5,1
32,Research & Development,Manufacturing Director,No,0,6162,High (6-10K),9,6-10 yrs,Yes,4,1,3,2,Travel_Rarely,Married,Male,2,1,9,8,1
38,Research & Development,Laboratory Technician,No,0,2406,Low (<3K),10,6-10 yrs,No,4,4,3,4,Travel_Frequently,Single,Female,2,1,10,3,0
50,Research & Development,Research Director,No,0,18740,Very High (10K+),27,10+ yrs,Yes,3,2,2,4,Travel_Rarely,Divorced,Female,5,5,29,3,1
59,Sales,Sales Executive,No,0,7637,High (6-10K),21,10+ yrs,No,1,1,2,4,Travel_Rarely,Single,Female,3,7,28,16,0
36,Research & Development,Healthcare Representative,No,0,10096,Very High (10K+),17,10+ yrs,No,3,3,3,2,Travel_Rarely,Divorced,Female,3,1,17,14,3
55,Research & Development,Manager,No,0,14756,Very High (10K+),5,3-5 yrs,Yes,3,4,3,3,Travel_Rarely,Divorced,Female,4,2,21,0,3
36,Research & Development,Manufacturing Director,No,0,6499,High (6-10K),6,6-10 yrs,No,2,2,3,3,Travel_Frequently,Single,Male,2,1,6,5,0
45,Research & Development,Research Scientist,No,0,9724,High (6-10K),1,0-2 yrs,No,1,2,3,3,Travel_Rarely,Divorced,Male,3,2,25,0,1
35,Research & Development,Research Scientist,No,0,2194,Low (<3K),3,3-5 yrs,No,1,2,2,4,Travel_Frequently,Married,Male,1,4,5,2,1
36,Research & Development,Research Scientist,Yes,1,3388,Mid (3-6K),1,0-2 yrs,Yes,3,4,2,1,Travel_Rarely,Married,Male,1,0,2,0,1
59,Sales,Sales Executive,No,0,5473,Mid (3-6K),4,3-5 yrs,No,3,1,2,4,Travel_Frequently,Single,Female,2,7,20,3,0
29,Research & Development,Research Scientist,No,0,2703,Low (<3K),5,3-5 yrs,No,2,3,3,4,Travel_Rarely,Married,Male,1,0,6,4,1
31,Research & Development,Research Scientist,No,0,2501,Low (<3K),1,0-2 yrs,No,2,3,3,2,Travel_Rarely,Single,Male,1,1,1,1,0
32,Research & Development,Research Scientist,No,0,6220,High (6-10K),10,6-10 yrs,No,2,2,3,2,Travel_Rarely,Married,Male,2,1,10,4,2
36,Research & Development,Laboratory Technician,No,0,3038,Mid (3-6K),1,0-2 yrs,No,4,2,3,2,Travel_Rarely,Married,Female,1,3,5,0,0
31,Research & Development,Manufacturing Director,No,0,4424,Mid (3-6K),11,10+ yrs,No,4,3,3,4,Travel_Rarely,Single,Female,2,1,11,7,0
35,Sales,Sales Executive,No,0,4312,Mid (3-6K),15,10+ yrs,No,1,3,3,2,Travel_Rarely,Single,Male,2,0,16,13,0
45,Research & Development,Research Director,No,0,13245,Very High (10K+),0,0-2 yrs,Yes,1,4,4,2,Travel_Rarely,Married,Male,3,4,17,0,0
37,Research & Development,Research Director,No,0,13664,Very High (10K+),5,3-5 yrs,No,3,1,4,1,Travel_Rarely,Single,Male,3,4,16,2,0
46,Human Resources,Human Resources,No,0,5021,Mid (3-6K),4,3-5 yrs,Yes,2,2,3,4,Travel_Rarely,Divorced,Male,2,8,16,2,1
30,Research & Development,Laboratory Technician,No,0,5126,Mid (3-6K),10,6-10 yrs,Yes,4,4,2,3,Travel_Rarely,Married,Male,2,1,10,8,2
35,Research & Development,Research Scientist,No,0,2859,Low (<3K),6,6-10 yrs,No,3,2,3,1,Travel_Rarely,Single,Male,1,1,6,4,0
55,Sales,Sales Executive,No,0,10239,Very High (10K+),1,0-2 yrs,No,4,1,3,4,Travel_Rarely,Married,Male,3,3,24,0,1
38,Research & Development,Research Scientist,No,0,5329,Mid (3-6K),13,10+ yrs,Yes,4,2,3,4,Non-Travel,Divorced,Female,2,7,17,11,3
34,Research & Development,Manufacturing Director,No,0,4325,Mid (3-6K),5,3-5 yrs,No,2,1,3,3,Travel_Rarely,Married,Male,2,1,5,2,0
56,Research & Development,Manufacturing Director,No,0,7260,High (6-10K),6,6-10 yrs,No,4,4,2,1,Travel_Rarely,Single,Male,3,4,37,4,0
23,Sales,Sales Representative,No,0,2322,Low (<3K),0,0-2 yrs,No,1,3,3,3,Travel_Rarely,Divorced,Male,1,3,3,0,1
51,Research & Development,Laboratory Technician,No,0,2075,Low (<3K),4,3-5 yrs,No,4,4,3,2,Travel_Rarely,Married,Male,1,3,10,2,2
30,Research & Development,Healthcare Representative,No,0,4152,Mid (3-6K),11,10+ yrs,No,4,3,3,1,Travel_Rarely,Married,Male,2,1,11,10,3
46,Sales,Sales Executive,Yes,1,9619,High (6-10K),9,6-10 yrs,No,4,3,3,4,Travel_Rarely,Single,Male,3,1,9,8,0
40,Research & Development,Healthcare Representative,No,0,13503,Very High (10K+),22,10+ yrs,No,2,3,2,4,Travel_Frequently,Married,Male,4,1,22,3,1
51,Sales,Sales Executive,No,0,5441,Mid (3-6K),10,6-10 yrs,Yes,4,3,1,4,Travel_Rarely,Single,Male,2,0,11,7,0
30,Sales,Sales Executive,No,0,5209,Mid (3-6K),11,10+ yrs,Yes,2,3,2,2,Travel_Rarely,Divorced,Female,2,1,11,8,3
46,Research & Development,Healthcare Representative,No,0,10673,Very High (10K+),10,6-10 yrs,Yes,1,3,2,3,Travel_Frequently,Married,Male,3,2,21,9,1
32,Sales,Sales Executive,No,0,5010,Mid (3-6K),11,10+ yrs,No,3,2,3,1,Travel_Rarely,Single,Male,2,1,12,8,0
54,Research & Development,Research Director,No,0,13549,Very High (10K+),4,3-5 yrs,No,3,1,1,1,Travel_Rarely,Married,Female,3,9,16,3,1
24,Sales,Sales Executive,No,0,4999,Mid (3-6K),3,3-5 yrs,No,3,1,2,1,Travel_Rarely,Married,Female,2,0,4,2,1
28,Sales,Sales Executive,No,0,4221,Mid (3-6K),5,3-5 yrs,No,3,2,4,2,Non-Travel,Married,Male,2,1,5,4,0
58,Sales,Sales Executive,No,0,13872,Very High (10K+),37,10+ yrs,No,3,4,2,3,Travel_Rarely,Single,Male,4,0,38,10,0
44,Research & Development,Laboratory Technician,No,0,2042,Low (<3K),3,3-5 yrs,No,2,2,4,3,Non-Travel,Married,Male,2,4,17,2,1
37,Human Resources,Human Resources,Yes,1,2073,Low (<3K),3,3-5 yrs,Yes,1,3,3,4,Travel_Rarely,Divorced,Male,1,4,7,2,0
32,Research & Development,Research Scientist,No,0,2956,Low (<3K),1,0-2 yrs,No,1,4,3,4,Travel_Rarely,Single,Male,1,1,1,0,0
20,Research & Development,Laboratory Technician,Yes,1,2926,Low (<3K),1,0-2 yrs,Yes,4,4,3,2,Travel_Frequently,Single,Female,1,1,1,0,0
34,Research & Development,Research Scientist,No,0,4809,Mid (3-6K),16,10+ yrs,No,3,1,3,3,Travel_Rarely,Single,Female,2,1,16,13,0
37,Research & Development,Healthcare Representative,No,0,5163,Mid (3-6K),1,0-2 yrs,No,4,3,4,4,Non-Travel,Divorced,Male,2,5,17,0,1
59,Human Resources,Manager,No,0,18844,Very High (10K+),3,3-5 yrs,No,4,3,3,4,Non-Travel,Married,Female,5,9,30,2,1
50,Research & Development,Research Director,No,0,18172,Very High (10K+),8,6-10 yrs,Yes,2,1,2,1,Travel_Frequently,Married,Female,5,3,28,3,0
25,Sales,Sales Executive,Yes,1,5744,Mid (3-6K),6,6-10 yrs,Yes,3,3,3,4,Travel_Rarely,Single,Male,2,1,6,4,0
25,Research & Development,Research Scientist,No,0,2889,Low (<3K),2,0-2 yrs,No,4,4,3,3,Travel_Rarely,Married,Male,1,1,2,2,2
22,Research & Development,Laboratory Technician,No,0,2871,Low (<3K),0,0-2 yrs,No,4,2,3,3,Travel_Rarely,Single,Female,1,1,1,0,0
51,Research & Development,Healthcare Representative,No,0,7484,High (6-10K),13,10+ yrs,No,1,1,2,3,Travel_Frequently,Single,Female,3,3,23,12,0
34,Research & Development,Laboratory Technician,Yes,1,6074,High (6-10K),9,6-10 yrs,Yes,3,1,3,4,Travel_Frequently,Single,Male,2,1,9,7,0
54,Human Resources,Manager,No,0,17328,Very High (10K+),5,3-5 yrs,Yes,4,4,3,3,Non-Travel,Single,Female,4,2,23,3,0
24,Research & Development,Laboratory Technician,No,0,2774,Low (<3K),5,3-5 yrs,No,3,2,3,3,Travel_Rarely,Married,Male,1,0,6,3,1
34,Research & Development,Research Scientist,No,0,4505,Mid (3-6K),1,0-2 yrs,No,2,3,3,3,Travel_Rarely,Divorced,Female,2,6,12,0,1
37,Sales,Sales Executive,No,0,7428,High (6-10K),5,3-5 yrs,No,4,3,3,1,Travel_Rarely,Single,Male,3,2,12,3,0
34,Research & Development,Manager,No,0,11631,Very High (10K+),11,10+ yrs,No,1,3,3,4,Travel_Rarely,Single,Female,3,2,14,10,0
36,Sales,Sales Executive,No,0,9738,High (6-10K),9,6-10 yrs,No,4,2,3,3,Travel_Frequently,Married,Female,3,0,10,7,1
36,Research & Development,Laboratory Technician,No,0,2835,Low (<3K),1,0-2 yrs,No,4,1,3,1,Travel_Rarely,Divorced,Female,1,5,7,0,1
43,Sales,Manager,No,0,16959,Very High (10K+),25,10+ yrs,Yes,4,3,4,4,Travel_Frequently,Married,Male,4,1,25,12,2
30,Research & Development,Research Scientist,No,0,2613,Low (<3K),10,6-10 yrs,No,3,1,2,3,Travel_Frequently,Divorced,Male,1,1,10,7,3
33,Sales,Sales Executive,No,0,6146,High (6-10K),7,6-10 yrs,No,2,3,4,1,Non-Travel,Married,Male,2,0,8,7,1
56,Research & Development,Research Scientist,Yes,1,4963,Mid (3-6K),5,3-5 yrs,Yes,2,2,3,1,Travel_Rarely,Married,Female,1,9,7,4,3
51,Research & Development,Research Director,No,0,19537,Very High (10K+),20,10+ yrs,No,3,1,3,3,Travel_Rarely,Single,Male,5,7,23,18,0
31,Sales,Sales Executive,Yes,1,6172,High (6-10K),7,6-10 yrs,Yes,3,2,2,2,Travel_Rarely,Married,Male,2,4,12,7,0
26,Research & Development,Research Scientist,No,0,2368,Low (<3K),5,3-5 yrs,No,2,3,2,3,Travel_Rarely,Married,Female,1,1,5,4,0
58,Research & Development,Healthcare Representative,Yes,1,10312,Very High (10K+),40,10+ yrs,No,4,4,2,4,Travel_Rarely,Married,Female,3,1,40,10,1
19,Sales,Sales Representative,Yes,1,1675,Low (<3K),0,0-2 yrs,Yes,3,4,2,4,Travel_Rarely,Single,Male,1,1,0,0,0
22,Research & Development,Laboratory Technician,No,0,2523,Low (<3K),2,0-2 yrs,No,4,3,3,3,Travel_Rarely,Married,Male,1,0,3,1,1
49,Research & Development,Manufacturing Director,No,0,6567,High (6-10K),15,10+ yrs,No,1,3,2,3,Travel_Rarely,Married,Female,2,1,16,11,0
43,Research & Development,Research Scientist,No,0,4739,Mid (3-6K),3,3-5 yrs,No,3,2,3,4,Travel_Frequently,Single,Female,1,4,18,2,0
50,Sales,Sales Executive,No,0,9208,High (6-10K),2,0-2 yrs,No,4,3,3,4,Travel_Frequently,Single,Female,3,4,16,2,0
31,Sales,Sales Executive,Yes,1,4559,Mid (3-6K),2,0-2 yrs,Yes,3,2,3,3,Travel_Rarely,Married,Female,2,3,4,2,1
41,Sales,Sales Executive,No,0,8189,High (6-10K),9,6-10 yrs,Yes,3,3,3,3,Travel_Rarely,Divorced,Male,3,3,12,7,1
26,Human Resources,Human Resources,No,0,2942,Low (<3K),8,6-10 yrs,No,3,3,3,4,Travel_Rarely,Married,Female,1,1,8,7,1
36,Research & Development,Manufacturing Director,No,0,4941,Mid (3-6K),3,3-5 yrs,No,2,2,3,4,Travel_Rarely,Divorced,Male,2,6,7,2,2
51,Research & Development,Manufacturing Director,Yes,1,10650,Very High (10K+),4,3-5 yrs,No,4,1,3,4,Travel_Frequently,Single,Male,3,2,18,2,0
39,Sales,Sales Executive,No,0,5902,Mid (3-6K),15,10+ yrs,No,3,4,4,3,Travel_Rarely,Married,Female,2,4,17,11,1
25,Sales,Sales Executive,No,0,8639,High (6-10K),2,0-2 yrs,No,3,1,3,4,Travel_Rarely,Married,Male,2,2,6,2,0
30,Human Resources,Human Resources,No,0,6347,High (6-10K),11,10+ yrs,Yes,4,3,1,4,Travel_Rarely,Married,Male,2,0,12,9,0
32,Research & Development,Laboratory Technician,Yes,1,4200,Mid (3-6K),5,3-5 yrs,No,1,1,4,1,Travel_Rarely,Single,Female,1,7,10,4,0
45,Research & Development,Research Scientist,No,0,3452,Mid (3-6K),6,6-10 yrs,No,4,3,2,2,Travel_Rarely,Single,Male,1,5,9,5,0
38,Research & Development,Research Scientist,No,0,4317,Mid (3-6K),3,3-5 yrs,Yes,3,4,3,2,Travel_Rarely,Single,Female,2,3,19,2,0
30,Research & Development,Research Scientist,No,0,2632,Low (<3K),5,3-5 yrs,No,3,1,2,3,Travel_Rarely,Single,Female,1,1,5,4,0
32,Sales,Sales Executive,No,0,4668,Mid (3-6K),8,6-10 yrs,No,4,4,4,4,Travel_Frequently,Divorced,Male,2,0,9,7,3
30,Research & Development,Research Scientist,No,0,3204,Mid (3-6K),3,3-5 yrs,No,1,4,3,4,Travel_Rarely,Divorced,Female,1,5,8,2,1
30,Research & Development,Laboratory Technician,No,0,2720,Low (<3K),5,3-5 yrs,No,4,2,3,4,Travel_Rarely,Single,Male,1,0,6,3,0
41,Research & Development,Manager,No,0,17181,Very High (10K+),7,6-10 yrs,No,1,4,2,2,Travel_Frequently,Divorced,Male,4,4,21,6,1
41,Research & Development,Laboratory Technician,No,0,2238,Low (<3K),5,3-5 yrs,No,1,3,3,4,Travel_Rarely,Married,Male,1,2,7,0,1
19,Research & Development,Laboratory Technician,No,0,1483,Low (<3K),1,0-2 yrs,No,2,2,3,4,Travel_Rarely,Single,Female,1,1,1,0,0
40,Research & Development,Research Scientist,No,0,5605,Mid (3-6K),20,10+ yrs,No,2,2,3,1,Travel_Frequently,Divorced,Female,2,1,20,7,1
35,Sales,Sales Executive,No,0,7295,High (6-10K),10,6-10 yrs,No,2,3,3,1,Travel_Rarely,Married,Male,3,1,10,8,2
53,Sales,Sales Representative,No,0,2306,Low (<3K),7,6-10 yrs,Yes,3,2,1,4,Travel_Rarely,Married,Male,2,2,13,7,1
45,Research & Development,Laboratory Technician,No,0,2348,Low (<3K),17,10+ yrs,No,2,2,1,3,Travel_Rarely,Divorced,Male,2,8,20,9,1
32,Sales,Sales Executive,No,0,8998,High (6-10K),9,6-10 yrs,No,4,2,3,4,Travel_Frequently,Single,Female,3,1,9,8,0
29,Research & Development,Manufacturing Director,No,0,4319,Mid (3-6K),10,6-10 yrs,No,3,4,3,1,Non-Travel,Married,Male,2,1,10,7,1
51,Research & Development,Manufacturing Director,No,0,6132,High (6-10K),1,0-2 yrs,No,3,2,3,3,Travel_Rarely,Married,Male,2,2,10,0,0
58,Research & Development,Research Scientist,No,0,3346,Mid (3-6K),1,0-2 yrs,Yes,2,2,2,2,Travel_Rarely,Married,Female,1,4,9,0,1
40,Sales,Sales Executive,No,0,10855,Very High (10K+),12,10+ yrs,No,4,3,2,1,Travel_Rarely,Married,Male,3,7,15,11,1
34,Sales,Sales Representative,No,0,2231,Low (<3K),4,3-5 yrs,No,3,3,3,4,Travel_Frequently,Married,Female,1,6,6,3,1
22,Research & Development,Research Scientist,No,0,2323,Low (<3K),2,0-2 yrs,No,4,3,3,1,Travel_Rarely,Married,Male,1,1,2,2,2
27,Research & Development,Research Scientist,No,0,2024,Low (<3K),2,0-2 yrs,No,2,4,1,4,Non-Travel,Divorced,Male,1,6,6,2,1
28,Research & Development,Research Scientist,No,0,2713,Low (<3K),5,3-5 yrs,No,4,3,1,3,Travel_Rarely,Married,Male,1,1,5,2,1
57,Research & Development,Healthcare Representative,No,0,9439,High (6-10K),5,3-5 yrs,Yes,4,3,1,2,Travel_Rarely,Divorced,Male,3,3,12,3,1
27,Research & Development,Research Scientist,No,0,2566,Low (<3K),1,0-2 yrs,Yes,3,3,2,4,Non-Travel,Divorced,Male,1,1,1,1,1
50,Research & Development,Manager,No,0,19926,Very High (10K+),5,3-5 yrs,No,2,3,3,2,Travel_Rarely,Single,Female,5,3,21,4,0
41,Research & Development,Research Scientist,No,0,2451,Low (<3K),9,6-10 yrs,No,3,1,3,1,Travel_Rarely,Divorced,Male,1,4,13,8,1
30,Sales,Sales Executive,No,0,9419,High (6-10K),10,6-10 yrs,No,4,2,3,3,Travel_Rarely,Married,Female,3,2,12,9,1
38,Sales,Sales Executive,No,0,8686,High (6-10K),8,6-10 yrs,No,4,1,4,3,Travel_Rarely,Single,Female,2,4,12,3,0
32,Research & Development,Research Scientist,No,0,3038,Mid (3-6K),5,3-5 yrs,No,3,3,3,1,Travel_Rarely,Single,Male,1,3,8,4,0
27,Research & Development,Research Scientist,No,0,3058,Mid (3-6K),5,3-5 yrs,Yes,2,3,2,4,Travel_Rarely,Married,Male,1,0,6,2,1
19,Sales,Sales Representative,Yes,1,2325,Low (<3K),0,0-2 yrs,No,1,3,4,1,Travel_Frequently,Single,Female,1,0,1,0,0
36,Research & Development,Laboratory Technician,No,0,2088,Low (<3K),8,6-10 yrs,No,2,4,2,3,Travel_Frequently,Single,Male,1,4,13,7,0
30,Research & Development,Laboratory Technician,No,0,3072,Mid (3-6K),12,10+ yrs,No,1,3,3,3,Non-Travel,Divorced,Male,2,1,12,9,2
45,Sales,Sales Executive,No,0,5006,Mid (3-6K),5,3-5 yrs,Yes,1,3,4,1,Travel_Rarely,Divorced,Female,2,4,9,4,1
56,Research & Development,Research Scientist,No,0,4257,Mid (3-6K),2,0-2 yrs,Yes,1,3,3,3,Travel_Rarely,Divorced,Female,1,4,19,2,1
33,Research & Development,Research Scientist,No,0,2500,Low (<3K),3,3-5 yrs,No,4,3,4,1,Travel_Rarely,Single,Male,1,0,4,1,0
19,Research & Development,Laboratory Technician,Yes,1,1102,Low (<3K),1,0-2 yrs,No,4,2,2,3,Travel_Rarely,Single,Male,1,1,1,0,0
46,Sales,Sales Executive,No,0,10453,Very High (10K+),24,10+ yrs,No,1,2,3,3,Travel_Rarely,Divorced,Female,3,1,24,13,3
38,Research & Development,Laboratory Technician,No,0,2288,Low (<3K),2,0-2 yrs,No,4,3,3,3,Travel_Rarely,Single,Female,1,1,2,2,0
